Opened /dev/ttyUSB1 as RX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Opened /dev/ttyUSB0 as TX; baud=9600 parity=N stop=1 bits=8 frame_timeout=20.00ms
Time                Dir  Slave Func CRC    Check Data
-----------------------------------------------------
14:24:37.195  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:38.302  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:38.329  RX  0x01  0x04  7D CB  OK     04 00 00 08 EA
14:24:38.344  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:38.377  RX  0x01  0x04  F8 17  OK     04 00 00 06 44
14:24:38.396  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:38.425  RX  0x01  0x04  3F DB  OK     04 00 00 0E 55
14:24:38.446  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:38.489  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:38.502  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:38.537  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:38.552  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:38.585  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:40.017  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:40.055  RX  0x01  0x04  FD C9  OK     04 00 00 08 EC
14:24:40.071  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:40.102  RX  0x01  0x04  F8 17  OK     04 00 00 06 44
14:24:40.125  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:40.166  RX  0x01  0x04  7E 19  OK     04 00 00 0E 52
14:24:40.176  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:40.214  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:40.222  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:40.278  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:40.292  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:40.342  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:41.732  TX  0x01  0x04  70 37  OK     01 00 00 02
14:24:41.764  RX  0x01  0x04  FD C9  OK     04 00 00 08 EC
14:24:41.779  TX  0x01  0x04  90 36  OK     01 06 00 02
14:24:41.812  RX  0x01  0x04  B9 D5  OK     04 00 00 06 43
14:24:41.821  TX  0x01  0x04  11 F4  OK     01 0E 00 02
14:24:41.844  RX  0x01  0x04  3E 18  OK     04 00 00 0E 51
14:24:41.864  TX  0x01  0x04  E1 CD  OK     00 1D 00 02
14:24:41.988  RX  0x01  0x04  7B 86  OK     04 00 00 00 06
14:24:42.004  TX  0x01  0x04  F1 F5  OK     01 08 00 02
14:24:42.036  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
14:24:42.047  TX  0x01  0x04  50 35  OK     01 0A 00 02
14:24:42.068  RX  0x01  0x04  FB 84  OK     04 00 00 00 00
